loc,cases,deaths,date,Region,year
#adm2+name,#affected+infected,#affected+killed,#date,#region,#year
DAGUPAN CITY,7,0,13/01/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,6,0,20/01/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,6,0,27/01/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,7,0,03/02/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,5,0,10/02/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,7,0,17/02/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,6,0,24/02/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,1,0,03/03/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,1,0,10/03/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,1,0,17/03/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,1,0,24/03/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,3,0,31/03/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,0,0,07/04/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,0,0,14/04/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,3,0,21/04/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,1,0,28/04/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,1,0,05/05/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,4,0,12/05/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,1,0,19/05/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,0,0,26/05/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,3,0,02/06/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,1,0,09/06/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,2,0,16/06/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,3,0,23/06/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,5,0,30/06/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,2,0,07/07/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,5,0,14/07/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,12,0,21/07/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,6,0,28/07/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,15,0,04/08/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,19,0,11/08/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,16,0,18/08/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,13,0,25/08/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,14,0,01/09/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,17,0,08/09/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,25,0,15/09/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,16,0,22/09/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,38,0,29/09/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,27,0,06/10/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,30,0,13/10/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,40,0,20/10/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,31,0,27/10/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,23,0,03/11/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,14,0,10/11/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,19,0,17/11/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,24,0,24/11/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,16,0,01/12/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,12,0,08/12/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,13,0,15/12/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,9,0,22/12/2019,Region I-ILOCOS REGION,2019
DAGUPAN CITY,14,0,29/12/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,17,0,13/01/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,26,0,20/01/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,15,0,27/01/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,15,0,03/02/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,16,0,10/02/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,12,0,17/02/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,17,0,24/02/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,27,0,03/03/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,15,0,10/03/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,20,0,17/03/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,10,0,24/03/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,1,0,31/03/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,4,0,07/04/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,10,0,14/04/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,9,0,21/04/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,7,0,28/04/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,13,1,05/05/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,5,0,12/05/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,8,0,19/05/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,4,0,26/05/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,5,1,02/06/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,5,0,09/06/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,35,0,16/06/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,39,0,23/06/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,36,0,30/06/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,67,0,07/07/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,128,0,14/07/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,182,1,21/07/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,136,1,28/07/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,173,0,04/08/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,144,0,11/08/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,129,1,18/08/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,148,1,25/08/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,201,2,01/09/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,147,1,08/09/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,135,4,15/09/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,142,0,22/09/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,111,0,29/09/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,94,0,06/10/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,85,0,13/10/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,100,1,20/10/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,94,0,27/10/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,78,0,03/11/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,652,0,10/11/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,44,0,17/11/2019,Region I-ILOCOS REGION,2019
ILOCOS NORTE,29,0,24/11/2019,Region I-ILOCOS REGION,2019
